PARAMETER,unit.types,max.unit,second.unit,third.unit,fourth.unit
alpha-Terpineol,1,mg/L,NA,NA,NA
"Aluminum, Dissolved",2,mg/L,ug/L,NA,NA
"Aluminum, Total",2,mg/L,ug/L,NA,NA
"Aluminum, Total Recoverable",2,mg/L,ug/L,NA,NA
"Ammonia, Total (as N)",1,mg/L,NA,NA,NA
"Ammonia, Unionized (as N)",1,mg/L,NA,NA,NA
Aniline,1,ug/L,NA,NA,NA
Anthracene,1,ug/L,NA,NA,NA
"Antimony, Dissolved",2,mg/L,ug/L,NA,NA
"Antimony, Total",2,mg/L,ug/L,NA,NA
"Antimony, Total Recoverable",2,mg/L,ug/L,NA,NA
"Arsenic (III), Dissolved",2,mg/L,ug/L,NA,NA
"Arsenic (III), Total Recoverable",2,mg/L,ug/L,NA,NA
"Arsenic, Dissolved",2,mg/L,ug/L,NA,NA
"Arsenic, Total",2,mg/L,ug/L,NA,NA
"Arsenic, Total Recoverable",2,ug/L,mg/L,NA,NA
Atrazine,1,ug/L,NA,NA,NA
"Barium, Dissolved",2,mg/L,ug/L,NA,NA
"Barium, Total",2,mg/L,ug/L,NA,NA
"Barium, Total Recoverable",2,mg/L,ug/L,NA,NA
Benzene,2,ug/L,mg/L,NA,NA
Benzidine,1,ug/L,NA,NA,NA
Benzo(a)anthracene,1,ug/L,NA,NA,NA
Benzo(a)pyrene,1,ug/L,NA,NA,NA
Benzo(b)fluoranthene,1,ug/L,NA,NA,NA
Benzo(e)pyrene,1,mg/L,NA,NA,NA
Benzo(ghi)perylene,1,ug/L,NA,NA,NA
Benzo(k)fluoranthene,1,ug/L,NA,NA,NA
Benzoic Acid,2,ug/L,mg/L,NA,NA
Benzyl alcohol,1,ug/L,NA,NA,NA
"Beryllium, Dissolved",2,mg/L,ug/L,NA,NA
"Beryllium, Total",2,ug/L,mg/L,NA,NA
"Beryllium, Total Recoverable",1,mg/L,NA,NA,NA
beta-BHC,2,ug/L,pg/L,NA,NA
beta-Endosulfan,2,ug/L,pg/L,NA,NA
Bicarbonate as CaCO3,1,ug/L,NA,NA,NA
Bicarbonate Ion (as HCO3),1,mg/L,NA,NA,NA
Biochemical Oxygen Demand (BOD) (5-day @ 20 Deg. C),1,mg/L,NA,NA,NA
Biphenyl,1,mg/L,NA,NA,NA
Bis (2-Chloroethoxy) Methane,1,ug/L,NA,NA,NA
Bis (2-Chloroethyl) Ether,1,ug/L,NA,NA,NA
Bis (2-Chloroisopropyl) Ether,1,ug/L,NA,NA,NA
Bis (2-Ethylhexyl) Phthalate,1,ug/L,NA,NA,NA
"Boron, Dissolved",2,mg/L,ug/L,NA,NA
"Boron, Total",2,ug/L,mg/L,NA,NA
"Boron, Total Recoverable",2,ug/L,mg/L,NA,NA
Bromobenzene,1,ug/L,NA,NA,NA
Bromochloromethane,1,ug/L,NA,NA,NA
Bromoform,1,ug/L,NA,NA,NA
Bromomethane,1,ug/L,NA,NA,NA
Butylbenzyl Phthalate,2,ug/L,mg/L,NA,NA
"Cadmium, Dissolved",2,mg/L,ug/L,NA,NA
"Cadmium, Total",2,mg/L,ug/L,NA,NA
"Cadmium, Total Recoverable",2,ug/L,mg/L,NA,NA
"Calcium, Dissolved",1,mg/L,NA,NA,NA
"Calcium, Total",1,mg/L,NA,NA,NA
"Calcium, Total Recoverable",1,mg/L,NA,NA,NA
Carbazole,2,ug/L,mg/L,NA,NA
Carbon disulfide,2,ug/L,mg/L,NA,NA
Carbon Tetrachloride,1,ug/L,NA,NA,NA
